nt n factor policy kernel bw
32 2097152 16 3d-mdrange Copy 354.3609
32 2097152 16 3d-mdrange Scale 355.3742
32 2097152 16 3d-mdrange Add 414.4535
32 2097152 16 3d-mdrange Triad 1067.9323
32 1048576 16 4d-mdrange Set 190.9105
32 1048576 16 4d-mdrange Copy 298.6864
32 1048576 16 4d-mdrange Scale 293.3080
32 1048576 16 4d-mdrange Add 350.5966
32 1048576 16 4d-mdrange Triad 924.8741
32 1048576 32 2d-mdrange Set 195.9955
32 1048576 32 2d-mdrange Copy 312.1923
32 1048576 32 2d-mdrange Scale 309.3715
32 1048576 32 2d-mdrange Add 378.4334
32 1048576 32 2d-mdrange Triad 894.9440
32 2097152 32 3d-mdrange Set 222.5361
32 2097152 32 3d-mdrange Copy 326.4336
32 2097152 32 3d-mdrange Scale 314.5040
32 2097152 32 3d-mdrange Add 366.0191
32 2097152 32 3d-mdrange Triad 1090.8463
32 1048576 32 4d-mdrange Set 189.9121
32 1048576 32 4d-mdrange Copy 300.9366
32 1048576 32 4d-mdrange Scale 297.7323
32 1048576 32 4d-mdrange Add 363.9783
32 1048576 32 4d-mdrange Triad 906.8765
32 1048576 64 2d-mdrange Set 194.6764
32 1048576 64 2d-mdrange Copy 297.8909
32 1048576 64 2d-mdrange Scale 294.5438
32 1048576 64 2d-mdrange Add 357.0583
32 1048576 64 2d-mdrange Triad 898.1379
32 2097152 64 3d-mdrange Set 352.7590
32 2097152 64 3d-mdrange Copy 568.8060
32 2097152 64 3d-mdrange Scale 552.0637
32 2097152 64 3d-mdrange Add 713.7216
32 2097152 64 3d-mdrange Triad 1054.0659
32 5308416 1 2d-mdrange Set 529.6499
32 5308416 1 2d-mdrange Copy 1050.2486
32 5308416 1 2d-mdrange Scale 1043.5515
32 5308416 1 2d-mdrange Add 1206.2183
32 5308416 1 2d-mdrange Triad 1222.1869
32 5832000 1 3d-mdrange Set 508.7285
32 5832000 1 3d-mdrange Copy 1010.2966
32 5832000 1 3d-mdrange Scale 1009.1057
32 5832000 1 3d-mdrange Add 1221.9904
32 5832000 1 3d-mdrange Triad 1223.4858
32 5308416 1 4d-mdrange Set 556.2847
32 5308416 1 4d-mdrange Copy 1026.2643
32 5308416 1 4d-mdrange Scale 1032.5021
